nome_cliente,idade_cliente,email_cliente
"Illiana P. Cleveland",85,Nullam@consequat.org
"Ira Morton",67,senectus@senectuset.ca
"Jonah Padilla",99,porttitor.eros.nec@nullamagna.com
"Kasimir Merrill",62,lorem.eget@tortoratrisus.com
"Katelyn G. Phillips",40,Sed@aliquam.ca
"Kato Perry",71,imperdiet.erat@maurisaliquam.com
"Kelly Murray",99,sit@fringilla.ca
"Kirby H. Sloan",69,hymenaeos@cursuset.ca
"Kirk Chan",34,mus@Uttinciduntvehicula.org
"Lacota D. Jacobson",37,Cum@ametornarelectus.ca
"Lavinia Parks",26,Suspendisse.aliquet@Suspendisseeleifend.co.uk
"Linda Harmon",59,libero.at@Integeraliquamadipiscing.com
"Lois Diaz",37,neque@iderat.edu
"Lucy E. Guzman",88,sed@odio.net
"Luis Santos",28,luis.s@itau.com.br
"Madison L. Velasquez",35,laoreet.ipsum.Curabitur@convallisante.edu
"Melodie Heath",44,magnis.dis@Sedmalesuadaaugue.co.uk
"Mia Cardenas",71,urna.Nullam@tempus.co.uk
"Miranda Z. Reese",28,mollis@magnaPraesentinterdum.edu
"Naida Lee",84,tristique.neque.venenatis@dictum.co.uk
"Nash Cohen",58,consequat.nec.mollis@acipsum.net
"Nell Whitley",91,in.cursus.et@egestaslaciniaSed.com
"Nina Mercer",96,Nam.consequat.dolor@sit.com
"Orla Moon",30,accumsan.convallis.ante@necmetus.com
"Otto T. Cardenas",65,lorem.eget@turpisvitae.com
"Phillip D. Waters",23,risus.In.mi@Quisquepurus.net
"Phoebe H. Soto",25,feugiat@odiosemper.com
"Plato Oconnor",69,natoque.penatibus.et@eget.co.uk
"Quail A. Fisher",67,Cum.sociis@semPellentesque.edu
"Ramona O. Curry",63,fames.ac.turpis@faucibusorci.net
"Rashad I. Simmons",46,erat.vel@Namtempordiam.net
"Riley Z. Conley",87,neque.pellentesque.massa@sollicitudin.com
"Rina Sanford",65,fringilla.euismod.enim@sitametorci.co.uk
"Ronan Z. Calhoun",55,fringilla@montesnasceturridiculus.org
"Savannah H. Cole",56,neque@tincidunt.net
"Scott U. Carroll",70,dictum.cursus@Donecdignissimmagna.co.uk
"Summer P. Brewer",55,imperdiet.dictum.magna@quis.org
"TaShya Stuart",91,amet.risus.Donec@Phasellus.org
"Tate I. George",58,libero.Morbi.accumsan@eutellus.co.uk
"Taylor M. Crane",71,aliquet.vel.vulputate@eliterat.co.uk
"Thaina Santos",22,thaina.s@itau.com.br
"Timon Sweet",80,Integer.eu.lacus@eget.edu
"Urielle E. Ingram",91,lorem.Donec@ante.co.uk
"Urielle Roach",88,et@velquam.co.uk
"Vaughan N. Beck",19,tempor.bibendum@feugiat.edu
"Veda Lloyd",60,natoque.penatibus@felisNulla.co.uk
"Victoria B. Roman",28,elit@Sedeu.org
"Whoopi R. Simpson",59,purus@facilisisloremtristique.net
"Wing Daniel",35,Curabitur.ut.odio@egestasurnajusto.com
"Wylie B. Ward",83,sed.libero.Proin@euerat.co.uk
"Xenos Jones",25,nibh@Inat.org
"Yvette Solomon",22,neque@magnatellus.ca
